blue; azzurro	
to play badminton; giocare a badminton
to hit; colpire
to serve; servire
to break someone’s serve; strappare il servizio
shuttlecock; il volano
squash racket; la racchetta da squash
ball boy/girl; il raccattapalle / la raccattapalle
line judge; il giudice di linea
tennis; il tennis
tennis ball; la pallina da tennis
tennis court; il campo da tennis
tennis player; il tennista
tennis racket; la racchetta da tennis
umpire; l’arbitro m
umpire’s chair; la sedia dell’arbitro
water sports; gli sport acquatici
swimming; il nuoto
breaststroke; la rana
backstroke; il dorso
front crawl; lo stile libero
butterfly; il delfino
lane; la corsia
length; la vasca
swimming lesson; la lezione di nuoto
swimmer; il nuotatore / la nuotatrice
diver; il tuffatore
diving; il tuffo
angling; la pesca
angler; il pescatore
surfer; il surfista / la surfista
to swim; nuotare
to dive; tuffarsi
to surf; fare surf
to paddle; pagaiare
to row; remare
to fish; pescare
to sail; navigare
armbands; i braccioli
diving board; il trampolino
flippers; le pinne
bodyboarding; il bodyboard
canoeing; andare in canoa
jet ski; la moto d’acqua
kayaking; andare in kayak
lifejacket; il giubbotto di salvataggio
goggles; gli occhialini
lifeguard; il bagnino / la bagnina
swimming cap; la cuffia
oars; i remi
paddle; la pagaia
paddleboarding; il paddle
scuba diving; l’immersione subacquea f
snorkelling; lo snorkelling
swimming pool; la piscina
swimming trunks; il costume da bagno
swimsuit; il costume da bagno
surfboard; la tavola da surf
surfing; il fare surf
waterskiing; lo sci d’acqua
wetsuit; la muta
windsurfing; il windsurf
winter sports; gli sport invernali
skier; lo sciatore / la sciatrice
ski resort; la stazione sciistica
ski lift; l’impianto di risalita m
ski instructor; l’istruttore di sci m / l’istruttrice di sci f
skiing lesson; la lezione di sci
mountain rescue service; il servizio di soccorso alpino
first-aid kit; il kit di pronto soccorso
snow; la neve
powder; la neve farinosa
ice; il ghiaccio
crampons; i ramponi
ice axe; la piccozza da ghiaccio
avalanche; la valanga
avalanche warning; l’avviso di valanghe m
carabiner clip; il moschettone
to ski (off-piste); sciare (fuori pista)
ice skates; i pattini da ghiaccio
ice skating; il pattinaggio su ghiaccio
to snowboard; fare snowboard
to go mountain climbing; fare alpinismo
to go sledging; andare in slitta
to go skating; andare a pattinare
rope; la cima
sledge; la slitta
piste; la pista
salopettes; la salopette
ski boots; gli scarponi da sci
ski gloves; i guanti da sci
ski goggles; la maschera da sci
ski helmet; il casco da sci
ski jacket; la giacca da sci
ski poles; i bastoncini da sci
skis gli sci; ski suit
la tuta da sci; snowboard
lo snowboard; snowboarding boots gli scarponi da snowboard
combat sports; gli sport da combattimento
fight; la lotta
boxer; il pugile
fighter; il lottatore
opponent; l’avversario m
featherweight; il peso piuma
heavyweight; il peso massimo
boxing gloves; i guanti da boxe
boxing ring; il ring
punch; il pugno
knockout; il fuori combattimento
martial arts; le arti marziali
to box; fare il pugilato
to wrestle; fare wrestling
boxing shoes; le scarpe da boxe
headguard; il paratesta
to punch; dare un pugno
to kick; dare un calcio
to strike; colpire
to spar; allenarsi
to knock out; mettere fuori combattimento
mouthguard; il paradenti
punchbag; il sacco da boxe
fencing; la scherma
judo; il judo
karate; il karatè
kickboxing; il kickboxing
tai chi; il tai chi
wrestling; il wrestling
taekwondo; il taekwondo
athletics; l’atletica
runner; il corridore
race; la gara
marathon; la maratona
sprint; lo sprint
lane; la corsia
start line; la linea di partenza
finish line; la linea di arrivo
heat; la batteria
final; la finale
triple jump; il salto triplo
heptathlon; l’eptathlon m
decathlon; il decathlon
starter’s gun; il colpo di partenza
to do athletics; fare atletica
to run; correre
to race; gareggiare
to jump; saltare
to throw; tirare
athlete; l’atleta m / l’atleta f
discus; il disco
high jump; il salto in alto
hurdles; gli ostacoli
javelin; il giavellotto
long jump; il salto in lungo
pole vault; il salto con l’asta
relay; la staffetta
running track; la pista da corsa
shot put; il lancio del peso
spikes; le scarpette chiodate
starting blocks; i blocchi di partenza
stopwatch; il cronometro
golf; il golf
golfer; il giocatore di golf / la giocatrice di golf
caddie; il portabastoni
golf course; il campo da golf
fairway; il fairway
green; il green
bunker; il bunker
hole; la buca
clubhouse; il clubhouse
hole-in-one; la buca in uno
birdie; il birdie
bogey; il bogey
handicap; l’handicap m
over/under par; sopra / sotto il par
to play golf; giocare a golf
to tee off; lanciare la palla dal tee
golf bag; la borsa da golf
golf ball; la pallina da golf
golf buggy; la golf car
golf club; il bastone da golf
putter; il putter
tee; il tee
American football; il football americano
archery; il tiro con l’arco
baseball; il baseball
bowls; le bocce
climbing; l’arrampicata f
cricket; il cricket
fishing; la pesca
gymnastics; la ginnastica artistica
handball; la pallamano
hockey; l’hockey m
horse racing; l’ippica f
ice hockey; l’hockey sul ghiaccio m
motorcycle racing; il motociclismo
motor racing; le gare automobilistiche
netball; il netball
shooting; il tiro al bersaglio
showjumping; il concorso ippico
skateboarding; lo skateboard
snooker; lo snooker
table tennis; il ping pong
track cycling; il ciclismo su pista
volleyball; la pallavolo
water polo; la pallanuoto
weightlifting; il sollevamento pesi
health; la salute
first-aid kit; il kit di pronto soccorso
bandage; la benda
syringe; la siringa
tablet; la pastiglia
plaster; il cerotto
first aider; il soccorritore / la soccorritrice
pain; il dolore
illness; la malattia
mental health; la sanità mentale
treatment; la terapia
recovery; la guarigione
health insurance; l’assicurazione sanitaria f
healthy; sano
to be unwell; stare male
to recover; guarire
to look after; occuparsi di
to treat; curare
doctor; il dottore / la dottoressa
first-aid kit; il kit di pronto soccorso
hospital; l’ospedale m
medicine; la medicina
nurse; l’infermiere m / l’infermiera f
paramedic; il paramedico
patient; il paziente / la paziente
pharmacist; il farmacista / la farmacista
pharmacy; la farmacia
the body; il corpo
throat; la gola
armpit; l’ascella f
genitals; i genitali
breast; il seno
eyelash; la ciglia
eyebrow; il sopracciglio
eyelid; la palpebra
earlobe; il lobo dell’orecchio
nostrils; le narici
lips; le labbra
tongue; la lingua
skin; la pelle
(body) hair; i peli
height; l’altezza f
weight; il peso
BMI; l’indice di massa corporea m
hair; i capelli
forehead; la fronte
eye; l’occhio m
wrist; il polso
knuckle; la nocca
sense of hearing; l’udito m
sense of sight; la vista
sense of smell; l’olfatto m
sense of taste; il gusto
sense of touch; il tatto
balance; l’equilibrio m
to see; vedere
ear; l’orecchio m
cheek; la guancia
nose; il naso
fingernail; l’unghia f
palm; il palmo
to smell; odorare
to hear; ascoltare
to touch; toccare
to taste; assaggiare
to stand; stare in piedi
to walk; camminare
to lose one’s balance; perdere l’equilibrio
mouth; la bocca
jaw; la mascella
chin; il mento
thumb; il pollice
finger; il dito
big toe; l’alluce m
toenail; l’unghia del piede f
head; la testa
face; il viso
neck; il collo
arm; il braccio
shoulder; la spalla
elbow; il gomito
toe; il dito del piede
sole; la pianta
chest; il torace
hand; la mano
abdomen; l’addome m
thigh; la coscia
back; la schiena
hip; l’anca f
heel; il tallone
ankle; la caviglia
leg; la gamba
knee; il ginocchio
shin; la tibia
foot; il piede
buttocks; le natiche
calf; il polpaccio
the skeleton; lo scheletro
organ; l’organo m
brain; il cervello
heart; il cuore
lung; il polmone
liver; il fegato
stomach; lo stomaco
kidney; il rene
intestines; l’intestino m
digestive system; l’apparato digerente m
respiratory system; l’apparato respiratorio m
bladder; la vescica
skull; il cranio
collarbone; la clavicola
vertebrae; le vertebre
humerus; l’omero m
breastbone; lo sterno
blood; il sangue
joint; l’articolazione f
bone; l’osso m
muscle; il muscolo
tendon; il tendine
ligament; il legamento
ribs; le costole
spine; la spina dorsale
ulna; l’ulna f
radius; il radio
pelvis; il bacino
tissue; il tessuto
cell; la cellula
artery; l’arteria f
vein; la vena
oxygen; l’ossigeno m
femur; il femore
kneecap; la rotula
fibula; il perone
tibia; la tibia
appointment; l’appuntamento m
clinic; la clinica
examination; l’analisi f
test; l’esame m
antibiotics; gli antibiotici
the pill; la pillola
sleeping pill; il sonnifero
prescription; la ricetta
home visit; la visita a domicilio
vaccination; la vaccinazione
medication; il medicinale
to make an appointment; prendere un appuntamento
to examine; visitare
to be on medication; prendere medicine
blood pressure monitor; il misuratore di pressione sanguigna
examination room; l’ambulatorio m
examination table; il lettino
GP; il medico di base
practice nurse; l’infermiere m / l’infermiera f
stethoscope; lo stetoscopio
syringe; la siringa
thermometer; il termometro
waiting room; la sala d’attesa
dental check-up; il controllo dei denti
hygienist; l’igienista m / l’igienista f
molar; il molare
incisor; l’incisivo m
canine; il canino
wisdom teeth; i denti del giudizio
filling; l’otturazione f
crown; la corona dentale
root canal treatment; la cura canalare
toothache; il mal di denti
abscess; l’ascesso m
extraction; l’estrazione f
to brush one’s teeth; lavarsi i denti
to floss; usare il filo interdentale
braces; l’apparecchio m
dental floss; il filo interdentale
dental nurse; l’assistente dentale m / l’assistente dentale f
dentist; il dentista
dentist’s chair; il lettino da dentista
dentist’s drill; il trapano da dentista
dentures; la dentiera
gums; le gengive
mouthwash; il collutorio
teeth; i denti
toothbrush; lo spazzolino da denti
toothpaste; il dentifricio
ophthalmologist; l’oftalmologo m
reading glasses; gli occhiali da lettura
bifocals; i bifocali
hard/soft contact lenses; le lenti a contatto rigide / morbide
lens; la lente
conjunctivitis; la congiuntivite
stye; l’orzaiolo m
blurred vision; la vista sfocata
cataract; la cataratta
short-sighted; miope
long-sighted; presbite
visually impaired; ipovedente
blind; non vedente
colour-blind; daltonico
to wear glasses; portare gli occhiali
to wear contacts; portare le lenti a contatto
contact lenses; le lenti a contatto
contact lens case; il contenitore per le lenti a contatto
eye chart; la tabella di misurazione della vista
eye drops; il collirio
eye test; l’esame della vista m
frames; la montatura
glasses; gli occhiali
glasses case; la custodia per gli occhiali
optician; l’ottico m
the hospital; l’ospedale
public hospital; l’ospedale pubblico m
private hospital; l’ospedale privato m
physiotherapist; il fisioterapista / la fisioterapista
radiographer; il radiografo / la radiografa
surgeon; il chirurgo
operation; l’operazione f
scan; l’ecografia f
intensive care; la terapia intensiva
defibrillator; il defibrillatore
diagnosis; la diagnosi
to undergo surgery; sottoporsi a un intervento chirurgico
to be admitted; essere ricoverato in ospedale
to be discharged; essere dimesso dall’ospedale
A&E; il pronto soccorso
ambulance; l’ambulanza f
crutches; le stampelle
drip; la flebo
hospital bed; il letto d’ospedale
hospital trolley; il carrello ospedaliero
monitor; il monitor
operating theatre; la sala operatoria
oxygen mask; la maschera d’ossigeno
plaster cast; l’ingessatura f
stitches; i punti
ward; il reparto
wheelchair; la sedia a rotelle
X-ray; la radiografia
Zimmer frame; il deambulatore
injury; le lesioni
pulse; il polso
concussion; la commozione cerebrale
accident; l’incidente m
fall; la caduta
dislocation; la lussazione
sprain; la slogatura
injuries; blister
la vescica; bruise il livido
burn; la bruciatura
scar; la cicatrice
whiplash; il colpo di frusta
swelling; il gonfiore
first aid; il pronto soccorso
recovery position; la posizione di sicurezza
CPR; la rianimazione
cut; il taglio
fracture; la frattura
graze; l’escoriazione f
to be unconscious; essere svenuto
to injure oneself; farsi male
to fall; cadere
to break one’s arm; rompersi il braccio
to twist one’s ankle; slogarsi la caviglia
to take his/her pulse; sentire il polso
splinter; la scheggia
sting; la puntura
sunburn; la scottatura
first aid; antiseptic l’antisettico m
bandage; la benda
dressing; la garza
ice pack; la borsa del ghiaccio
neck brace; il collare
ointment; la pomata
plaster; il cerotto
sling; la fascia
tweezers; le pinzette
illness; le malattie
heart attack; l’attacco cardiaco m
stroke; l’ictus m
infection; l’infezione f
ear infection; l’otite f
fever; la febbre
virus; il virus
chicken pox; la varicella
rash; l’eruzione cutanea f
stomach bug; il virus intestinale
food poisoning; l’intossicazione alimentare f
vomiting; il vomito
nausea; la nausea
diarrhoea; la diarrea
constipation; la stitichezza
diabetes; il diabete
epilepsy; l’epilessia f
asthma; l’asma f
dizziness; le vertigini
inhaler; l’inalatore m
insulin; l’insulina f
period pain; i dolori mestruali
to have high/low blood pressure; avere la pressione alta / bassa
to cough; tossire
to sneeze; starnutire
to vomit; vomitare
to faint; svenire
pregnancy; la gravidanza
pregnant woman; la donna incinta
newborn; il neonato
foetus; il feto
uterus; l’utero m
cervix; la cervice
pre-natal class; il corso preparto
labour; il travaglio
delivery; il parto
Caesarean section; il parto cesareo
epidural; l’anestesia epidurale f
miscarriage; l’aborto spontaneo m
stillborn; nato morto
due date; la data del parto
morning sickness; la nausea mattutina
to fall pregnant; rimanere incinta
to be overdue; essere oltre il termine
to be in labour; avere le doglie
to give birth; partorire
to miscarry; abortire
to breast-feed; allattare
baby blanket; la coperta per bambini
babygro®; la tutina
incubator; l’incubatrice f
labour suite; la sala parto
midwife; l’ostetrica f
nappy; il pannolino
pregnancy test; il test di gravidanza
sonographer; l’ecografista m / l’ecografista f
ultrasound; l’ecografia f
alternative therapies; terapie alternative
therapist; il terapista
masseur; il massaggiatore
masseuse; la massaggiatrice
chiropractor; il chiropratico / la chiropratica
essential oil; l’olio essenziale m
therapies; acupuncture l’agopuntura f
chiropractic; la chiropratica
hypnotherapy; l’ipnoterapia f
massage; il massaggio
acupuncturist; l’agopunturista m
reflexologist; il riflessologo / la riflessologa
remedy; il rimedio
reiki; il reiki
herbal medicine; la fitoterapia
meditation; la meditazione
osteopathy; l’osteopatia f
reflexology; la riflessologia
mindfulness; la consapevolezza
to relax; rilassarsi
to massage; massaggiare
to meditate; meditare
homeopathy; l’omeopatia f
thalassotherapy; la talassoterapia
traditional Chinese medicine; la medicina tradizionale cinese
vet; il veterinario
pet; l’animale domestico m
flea; la pulce
tick; la zecca
rabies vaccination; la vaccinazione antirabbica
microchip; il microchip
pet passport; il passaporto per animali domestici
quarantine; la quarantena
to go to the vet; andare dal veterinario
to spay/neuter; sterilizzare
to put to sleep; sopprimere
E-collar; il collare elisabettiano
flea collar; il collare antipulci
pet carrier; il trasportino per animali domestici
planet earth; il pianeta terra
parrot; il pappagallo
beak; il becco
tail; la coda
claw; l’artiglio m
animal; l’animale m
bird; l’uccello m
fish; il pesce
species; la specie
nature reserve; la riserva naturale
scenery; il paesaggio
zoo; lo zoo
fur; la pelliccia
wool; la lana
paw; la zampa
hoof; lo zoccolo
snout; il muso
mane; la criniera
tail; la coda
claw; l’artiglio m
horn; il corno
feather; la piuma
wing; l’ala f
beak; il becco
cold-blooded; a sangue freddo
warm-blooded; a sangue caldo
to bark; abbaiare
to purr; fare le fusa
to growl; ringhiare
to roar; ruggire
to chirp; cinguettare
to buzz; ronzare
owner; il proprietario / la proprietaria
farmer; l’agricoltore m
farm; l’azienda agricola f
barn; il granaio
meadow; il prato
hay; il fieno
straw; la paglia
lamb; l’agnello m
calf; il vitello
foal; il puledro
kitten; il gattino
puppy; il cucciolo
guide dog; il cane guida
to have a pet; avere un animale domestico
to go to the vet; andare dal veterinario
to walk the dog; portare a spasso il cane
to farm; allevare
budgerigar; il pappagallino ondulato
canary; il canarino
cat; il gatto
dog; il cane
bull; il toro
chicken; il pollo
cow; la mucca
donkey; l’asino m
ferret; il furetto
goldfish; il pesciolino rosso
guinea pig; il porcellino d’India
hamster; il criceto
duck; l’anatra f
goat; la capra
goose; l’oca f
horse; il cavallo
parrot; il pappagallo
pony; il pony
rabbit; il coniglio
rat; il ratto
pig; il maiale
sheep; la pecora
sheepdog; il cane da pastore
turkey; il tacchino
aquarium; l’acquario m
cage; la gabbia
catflap; la gattaiola
collar; il collare
dog basket; la cuccia
hutch; la gabbia
kennel; la cuccia
lead; il guinzaglio
litter tray; la lettiera
muzzle; la museruola
pet food; il cibo per animali domestici
stable; la stalla
alligator; l’alligatore m
crocodile; il coccodrillo
frog; la rana
gecko; il geco
iguana; l’iguana f
lizard; la lucertola
newt; il tritone
salamander; la salamandra
snake; il serpente
toad; il rospo
tortoise; la tartaruga
turtle; la tartaruga acquatica
mammals; mammiferi
badger; il tasso
bat; il pipistrello
boar; il cinghiale
deer; il cervo
fox; la volpe
hare; la lepre
hedgehog; il riccio
mole; la talpa
mouse; il topo
otter; la lontra
squirrel; lo scoiattolo
wolf; il lupo
bear; l’orso m
camel; il cammello
chimpanzee; lo scimpanzé
elephant; l’elefante m
giraffe; la giraffa
gorilla; il gorilla
hippopotamus; l’ippopotamo m
kangaroo; il canguro
lion; il leone
monkey; la scimmia
rhinoceros; il rinoceronte
tiger; la tigre
birds; uccelli
blackbird; il merlo
crane; la gru
crow; il corvo
dove; la colomba
eagle; l’aquila f
finch; il fringuello
flamingo; il fenicottero
gull; il gabbiano
hawk; il falco
heron; l’airone m
kingfisher; il martin pescatore
lark; l’allodola f
ostrich; lo struzzo
owl; il gufo
peacock; il pavone
pelican; il pellicano
penguin; il pinguino
pigeon; il piccione
puffin; la fratercula
robin; il pettirosso
sparrow; il passero
stork; la cicogna
swan; il cigno
thrush; il tordo
swarm; lo sciame
colony; la colonia
cobweb; la ragnatela
insect bite; la puntura d’insetto
to buzz; ronzare
to sting; pungere
ant; la formica
bee; l’ape f
beetle; il coleottero
butterfly; la farfalla
caterpillar; il bruco
centipede; il millepiedi
cockroach; lo scarafaggio
cricket; il grillo
dragonfly; la libellula
earthworm; il lombrico
fly; la mosca
grasshopper; la cavalletta
ladybird; la coccinella
mayfly; l’efemera f
mosquito; la zanzara
moth; la falena
slug; la lumaca
snail; la chiocciola
spider; il ragno
wasp; la vespa
woodlouse; l’onisco m
marine creatures; animali marini
coral; il corallo
crab; il granchio
dolphin; il delfino
eel; l’anguilla f
jellyfish; la medusa
killer whale; l’orca marina f
lobster; l’aragosta f
seal; la foca
sea urchin; il riccio
shark; lo squalo
starfish; la stella marina
whale; la balena
stalk; il gambo
leaf; la foglia
petal; il petalo
pollen; il polline
bud; il bocciolo
wood; il legno
branch; il ramo
trunk; il tronco
bark; la corteccia
root; la radice
buttercup; il ranuncolo
carnation; il garofano
chrysanthemum; il crisantemo
daffodil; il narciso
daisy; la margherita
chestnut; il castagno
cypress; il cipresso
fir; l’abete m
fungus; il fungo
grapevine; la vite
seed; il seme
hyacinth; il giacinto
lily; il giglio
orchid; l’orchidea f
pansy; la viola
poppy; il papavero
ivy; l’edera f
lavender; la lavanda
lilac; il lillà
moss; il muschio
oak; la quercia
bulb; il bulbo
primrose; la primula
rose; la rosa
sunflower; il girasole
tulip; il tulipano
violet; la violetta
olive; l’ulivo m
pine; il pino
plane; il platano
poplar; il pioppo
willow; il salice
landscape; il paesaggio
earth; la terra
soil; il terreno
mud; il fango
water; l’acqua f
landcave; la grotta
desert; il deserto
farmland; il terreno agricolo
forest; la foresta
glacier; il ghiacciaio
grassland; la prateria
estuary; l’estuario m
air; l’aria f
atmosphere; l’atmosfera f
sunrise; l’alba f
sunset; il tramonto
hill; la collina
lake; il lago
marsh; la palude
mountain; la montagna
pond; lo stagno
river; il fiume
rural; rurale
urban; urbano
polar; polare
alpine; alpino
tropical; tropicale
rocks; le rocce fpl
scrub; la boscaglia
stream; il ruscello
valley; la vallata
volcano; il vulcano
waterfall; la cascata
cliff; la scogliera
coast; la costa
aurora; l’aurora boreale f
clouds; le nuvole
coral reef; la barriera corallina
island; l’isola f
moon; la luna
rainbow; l’arcobaleno m
peninsula; la penisola
rockpool; il ristagno d’acqua tra le rocce
stars; le stelle
sun; il sole
costume; il costume
feather; la piuma
mask; la maschera
occasion; l’occasione f
birthday; il compleanno
birthday party; la festa di compleanno
public holiday; la festa nazionale
religious holiday; la festività religiosa
celebration; la celebrazione
wedding anniversary; l’anniversario di matrimonio m
surprise party; la festa a sorpresa
good/bad news; le buone / cattive notizie
to celebrate; celebrare
to throw a party; fare una festa
to toast; brindare a
bouquet of flowers; il mazzo di fiori
box of chocolates; la scatola di cioccolatini
bunting; i festoni
cake; la torta
champagne; lo spumante
confetti; i coriandoli
decorations; le decorazioni
fireworks; i fuochi d’artificio
gift; il regalo
greetings card; il bigliettino d’auguri
party; la festa
streamers; le stelle filanti
birth; la nascita
baptism; il battesimo
graduation la laurea; finding a job trovare un lavoro
engagement; il fidanzamento ufficiale
marriage; il matrimonio
wedding; le nozze
wedding anniversary; l’anniversario di matrimonio m
relocation; il trasferimento
retirement; andare in pensione
funeral; il funerale
Mother’s Day; la Festa della Mamma
Father’s Day; la Festa del Papà
Halloween; il Halloween
April Fool’s Day; il giorno del pesce d’aprile
May Day; il Primo Maggio
Valentine’s Day; il giorno di San Valentino
to have a child; avere un bambino
to pass your driving test; superare l’esame di guida
All Saints’ Day; il giorno di Ognissanti
Diwali; il Diwali
Easter; la Pasqua
Eid al-Fitr; l’Eid al-Fitr m
Hanukkah; l’Hanukkah f
Holi; l’Holi m
Mardi Gras; il martedì grasso
Passover; la Pasqua ebraica
Ramadan; il Ramadan
Christmas Eve; la vigilia di Natale
Christmas Day; il giorno di Natale
Christmas card; il biglietto di Natale
New Year’s Eve; la vigilia di Capodanno
New Year’s Day; il Capodanno
New Year’s card; il biglietto di auguri per Capodanno
bauble; la pallina natalizia
Befana; la Befana
Christmas dinner; il cenone di Natale
Christmas lights; le luci di Natale
Christmas tree; l’albero di Natale m
Epiphany; l’Epifania f
Father Christmas/ Santa Claus; Babbo Natale
mistletoe; il vischio
Nativity scene; il presepio
tinsel; l’orpello m
wreath; la ghirlanda
Yule log; il tronchetto di Natale
carnival; il carnevale
carnival doughnuts; le castagnole
carnival float; il carro di Carnevale
costume; il costume
face paint; la pittura facciale
funfair; il luna park
headdress; il copricapo
mask; la maschera
parade; la sfilata
street performer; l’artista di strada m
